KMXX        Maxwell     32.5367    -85.7897     152     WSR-88D	 2890  72230  BMX
KNKX       SanDiego     32.9189   -117.0419     316     WSR-88D	 2745  72293  NKX
KNQA        Memphis     35.3447    -89.8733     111     WSR-88D	 2820  72340  LZK
KOAX          Omaha     41.3203    -96.3667     380     WSR-88D	 2705  72558  OAX
KOHX       Nashvill     36.2472    -86.5625     201     WSR-88D	 2891  72327  BNA
KOKX        NewYork     40.8656    -72.8639      56     WSR-88D	 2875  72501  OKX
KOTX        Spokane     47.6803   -117.6267     742     WSR-88D	 2886  72786  OTX
KPAH        Padukah     37.0683    -88.7719     149     WSR-88D	 2730  72327  BNA
KPBZ       Pittsbrg     40.5317    -80.2181     381     WSR-88D	 2890  72520  PIT
KPDT        Pndlton     45.6906   -118.8528     477     WSR-88D	 2735  72786  OTX
KPOE       FortPolk     31.1556    -92.9758     139     WSR-88D	 2850  72240  LCH
KPUX         Pueblo     38.4594   -104.1814    1615     WSR-88D	 2865  72469  DNR
KRAX        Raleigh     35.6656    -78.4897     136     WSR-88D	 2880  72317  GSO
KRGX           Reno     39.7542   -119.4622    2554     WSR-88D	 2895  72489  REV
KRIW       Riverton     43.0661   -108.4772    1712     WSR-88D	 2870  72672  RIW
KRLX        CharlWV     38.3111    -81.7231     359     WSR-88D	 2895  72318  RNK
KRTX       PrtlndOR     45.7147   -122.9653     509     WSR-88D	 2870  72694  SLE
KSFX       IdahoFls     43.1058   -112.6861    1384     WSR-88D	 2830  72572  SLC
KSGF       Sprgfild     37.2353    -93.4006     414     WSR-88D	 2865  72440  SGF
KSHV       Shrvport     32.4508    -93.8414     113     WSR-88D	 2855  72248  SHV
KSJT       SanAnglo     31.3714   -100.4925     606     WSR-88D	 2891  72265  MAF
KSOX       SantaAna     33.8178   -117.6358     938     WSR-88D	 2934  72293  NKX
KSRX        FtSmith     35.2906    -94.3617     215     WSR-88D	 2895  72340  LZK
KTBW          Tampa     27.7056    -82.4017      32     WSR-88D	 2880  72210  TBW
KTFX       GreatFal     47.4597   -111.3853    1147     WSR-88D	 2895  72776  TFX
KTLH       Talhasee     30.3975    -84.3289      49     WSR-88D	 2895  72214  TLH
KTLX       OklaCity     35.3331    -97.2778     384     WSR-88D	 2910  72357  OUN
KTWX         Topeka     38.9969    -96.2325     427     WSR-88D	 2705  72456  TOP
KTYX       Montague     43.7558    -75.6800     597     WSR-88D	 2705  72518  ALY
KUDX       RapidCty     44.1250   -102.8297     949     WSR-88D	 2830  72662  UNR
KUEX       GrandIsl     40.3208    -98.4419     622     WSR-88D	 2890  72558  OAX
KVAX       MoodyAFB     30.3903    -83.0017      72     WSR-88D	 2715  72214  TLH
KVBX       Vandenbg     34.8381   -120.3969     398     WSR-88D	 2890  72393  VBG
KVNX       VanceAFB     36.7408    -98.1278     379     WSR-88D	 2895  74646  LMN
KVTX       LosAngls     34.4117   -119.1794     851     WSR-88D	 2905  72391  NTD
KVWX       Evansvil     38.2602    -87.7245     190     WSR-88D	 2885  72327  BNA
KYUX           Yuma     32.4953   -114.6567      67     WSR-88D	 2835  74004  1Y7
MGDT       GrndTurk     21.4608    -71.1314      40     WSR-88D  9999  72202  MFL
PABC         Bethel     60.7919   -161.8764      54     WSR-88D	 2880  71964  YXY
PACG          Sitka     56.8528   -135.5292      79     WSR-88D	 2800  71964  YXY
PAEC           Nome     64.5114   -165.2950      40     WSR-88D  9999  71957  YEV
PAHG       Anchorag     60.7258   -151.3514     109     WSR-88D  9999  71964  YXY
PAIH       MdltnIsl     59.4614   -146.3031      30     WSR-88D	 2885  71964  YXY
PAKC       KngSalmn     58.6794   -156.6294      39     WSR-88D	 2800  71964  YXY
PAPD       Fairbnks     65.0350   -147.5017     820     WSR-88D  9999  71957  YEV
PHKI        S.Kauai     21.8942   -159.5522      85     WSR-88D	 2860  72493  OAK
PHKM         Kohala     20.1256   -155.7778    1191     WSR-88D	 2760  72493  OAK
PHMO        Molokai     21.1328   -157.1800     435     WSR-88D	 2750  72493  OAK
PHWA       Honolulu     19.0950   -155.5689     442     WSR-88D	 2855  72493  OAK
PGUA           Guam     13.4539   -144.8078      10     WSR-88D  9999  72291  NSI
TJUA        SanJuan     18.1156    -66.0781     882     WSR-88D  9999  72202  MFL
