VarName	VarUnit	VarPrefix	ProductDir	VarMissing	VarNoCoverage	VarScale	w2Name	w2Unit	w2Missing	w2NoCoverage
RT1440M		1/sec	RT1440M	rotate_track/1440m_acc	-1	-3	1000	RotationTrack1440min	none    	-99900	-99903
RT1440M		1/sec	RT1440M	rotate_track/1440m_acc	-1	-3	1000	RotationTrack1440min	1/second	-99900	-99903
RTML30M		1/sec	RTML30M	rotate_track_ml/30m_acc	-1	-3	1000	RotationTrackML30min	none    	-99900	-99903
RTML30M		1/sec	RTML30M	rotate_track_ml/30m_acc	-1	-3	1000	RotationTrackML30min	1/second	-99900	-99903
RTML60M		1/sec	RTML60M	rotate_track_ml/60m_acc	-1	-3	1000	RotationTrackML60min	none    	-99900	-99903
RTML60M		1/sec	RTML60M	rotate_track_ml/60m_acc	-1	-3	1000	RotationTrackML60min	1/second	-99900	-99903
RTML120M	1/sec	RTML120M	rotate_track_ml/120m_acc	-1	-3	1000	RotationTrackML120min	none    	-99900	-99903
RTML120M	1/sec	RTML120M	rotate_track_ml/120m_acc	-1	-3	1000	RotationTrackML120min	1/second	-99900	-99903
RTML240M	1/sec	RTML240M	rotate_track_ml/240m_acc	-1	-3	1000	RotationTrackML240min	none    	-99900	-99903
RTML240M	1/sec	RTML240M	rotate_track_ml/240m_acc	-1	-3	1000	RotationTrackML240min	1/second	-99900	-99903
RTML360M	1/sec	RTML360M	rotate_track_ml/360m_acc	-1	-3	1000	RotationTrackML360min	none    	-99900	-99903
RTML360M	1/sec	RTML360M	rotate_track_ml/360m_acc	-1	-3	1000	RotationTrackML360min	1/second	-99900	-99903
RTML1440M	1/sec	RTML1440M	rotate_track_ml/1440m_acc	-1	-3	1000	RotationTrackML1440min	none    	-99900	-99903
RTML1440M	1/sec	RTML1440M	rotate_track_ml/1440m_acc	-1	-3	1000	RotationTrackML1440min	1/second	-99900	-99903

#Hailswaths
MESHMAX30M	mm	MESHMAX30M	hailswath/30m_max	-1	-3	10	MESH_Max_30min	mm	-99900	-99903
MESHMAX60M	mm	MESHMAX60M	hailswath/60m_max	-1	-3	10	MESH_Max_60min	mm	-99900	-99903
MESHMAX120M	mm	MESHMAX120M	hailswath/120m_max	-1	-3	10	MESH_Max_120min	mm	-99900	-99903
MESHMAX240M	mm	MESHMAX240M	hailswath/240m_max	-1	-3	10	MESH_Max_240min	mm	-99900	-99903
MESHMAX360M	mm	MESHMAX360M	hailswath/360m_max	-1	-3	10	MESH_Max_360min	mm	-99900	-99903
MESHMAX1440M	mm	MESHMAX1440M	hailswath/1440m_max	-1	-3	10	MESH_Max_1440min	mm	-99900	-99903

#Karen's weak attempt to add nldn to the webpages. 
#NOTE: Use "none" instead of "SI" for w2Units
#NLDN
LTG_DENSITY_1MIN	none	LTG_DENSITY_1MIN	ltg/1m_density	-1	-3	1	NLDN_CG_001min	flashes	-99900	-99901
LTG_DENSITY_2MIN	none	LTG_DENSITY_2MIN	ltg/2m_density	-1	-3	1	NLDN_CG_002min	flashes	-99900	-99901
LTG_DENSITY_5MIN	none	LTG_DENSITY_5MIN	ltg/5m_density	-1	-3	1	NLDN_CG_005min	flashes	-99900	-99901
LTG_DENSITY_15MIN	none	LTG_DENSITY_15MIN	ltg/15m_density	-1	-3	1	NLDN_CG_015min	flashes	-99900	-99901
LTG_DENSITY_30MIN	none	LTG_DENSITY_30MIN	ltg/30m_density	-1	-3	1	NLDN_CG_030min	flashes	-99900	-99901
LTG_DENSITY_60MIN	none	LTG_DENSITY_60MIN	ltg/60m_density	-1	-3	1	NLDN_CG_060min	flashes	-99900	-99901
LTG_DENSITY_1MIN	none	LTG_DENSITY_1MIN	ltg/1m_density	-1	-3	1	NLDN_CG_001min_AvgDensity	flashes	-99900	-99901
LTG_DENSITY_2MIN	none	LTG_DENSITY_2MIN	ltg/2m_density	-1	-3	1	NLDN_CG_002min_AvgDensity	flashes	-99900	-99901
LTG_DENSITY_5MIN	none	LTG_DENSITY_5MIN	ltg/5m_density	-1	-3	1	NLDN_CG_005min_AvgDensity	flashes	-99900	-99901
LTG_DENSITY_15MIN	none	LTG_DENSITY_15MIN	ltg/15m_density	-1	-3	1	NLDN_CG_015min_AvgDensity	flashes	-99900	-99901
LTG_DENSITY_30MIN	none	LTG_DENSITY_30MIN	ltg/30m_density	-1	-3	1	NLDN_CG_030min_AvgDensity	flashes	-99900	-99901
LTG_DENSITY_60MIN	none	LTG_DENSITY_60MIN	ltg/60m_density	-1	-3	1	NLDN_CG_060min_AvgDensity	flashes	-99900	-99901
#NLDN_1min	none	NLDN_1min	nldn/1min	-1	-3	1	NLDN_CG_001min	flashes	-99900	-99901
#NLDN_5min	none	NLDN_5min	nldn/5min	-1	-3	1	NLDN_CG_005min	flashes	-99900	-99901
#NLDN_15min	none	NLDN_15min	nldn/15min	-1	-3	1	NLDN_CG_015min	flashes	-99900	-99901
#NLDN_30min	none	NLDN_30min	nldn/30min	-1	-3	1	NLDN_CG_030min	flashes	-99900	-99901
#LTG_30MIN_PROB	percent	LTG_30MIN_PROB	ltg/30m_prob	-1	-3	100	LightningProbabilityNext30min	none	-99900	-99901	
#LTG_60MIN_PROB	percent	LTG_60MIN_PROB	ltg/60m_prob	-1	-3	100	LightningProbabilityNext60min	none	-99900	-99901	
#LTG_30MIN_PROB	percent	LTG_30MIN_PROB	ltg/30m_prob	-1	-3	1	probgrid0to30Scale0Grid	%	-99900	-99901	
#LTG_60MIN_PROB	percent	LTG_60MIN_PROB	ltg/60m_prob	-1	-3	1	probgrid0to60Scale0Grid	%	-99900	-99901	
LTG_30MIN_PROB	percent	LTG_30MIN_PROB	ltg/30m_prob	-1	-3	1	LightningProbabilityNext30minGrid	%	-99900	-99901	
LTG_60MIN_PROB	percent	LTG_60MIN_PROB	ltg/60m_prob	-1	-3	1	LightningProbabilityNext60minGrid	%	-99900	-99901	
#SegMotion and LP fields -- custom for CWB
CREF_030min	dBZ	CompositeReflectivity_030min	CompositeReflectivity_030min	-99	-999	10	MergedReflectivityQCComposite_030min	dBZ	-99900	-99903
CREF_060min	dBZ	CompositeReflectivity_060min	CompositeReflectivity_060min	-99	-999	10	MergedReflectivityQCComposite_060min	dBZ	-99900	-99903
CREF_120min	dBZ	CompositeReflectivity_120min	CompositeReflectivity_120min	-99	-999	10	MergedReflectivityQCComposite_120min	dBZ	-99900	-99903
CREF_180min	dBZ	CompositeReflectivity_180min	CompositeReflectivity_180min	-99	-999	10	MergedReflectivityQCComposite_180min	dBZ	-99900	-99903

SHSRVPRC_Rate_030min	mm/hr	SHSR_VPRC_PrecipRate_030min	SHSR_VPRC_PrecipRate_030min	0	-999	10	SHSR_VPRC_PrecipRate_030min	none	-99900	-99903
SHSRVPRC_Rate_060min	mm/hr	SHSR_VPRC_PrecipRate_060min	SHSR_VPRC_PrecipRate_060min	-99	-999	10	SHSR_VPRC_PrecipRate_060min	none	-99900	-99903
SHSRVPRC_Rate_120min	mm/hr	SHSR_VPRC_PrecipRate_120min	SHSR_VPRC_PrecipRate_120min	-99	-999	10	SHSR_VPRC_PrecipRate_120min	none	-99900	-99903
SHSRVPRC_Rate_180min	mm/hr	SHSR_VPRC_PrecipRate_180min	SHSR_VPRC_PrecipRate_180min	-99	-999	10	SHSR_VPRC_PrecipRate_180min	none	-99900	-99903

lp_cref	dBZ	LPCREF	lp_cref	-99	-999	10	MergedReflectivityQCCompositeLP	dBZ	-99900	-99903

